application,type,epoch,duration,success,crashed_nodes,crashed_links
Siotec2022,replacement,3,1044.8040962219238,False,fog23,
Siotec2022,replacement,217,91.83406829833984,True,fog1,
Siotec2022,replacement,426,98.92582893371582,True,"fog25,edge7",
Siotec2022,replacement,796,1051.030158996582,False,fog7,
Siotec2022,replacement,930,1052.4439811706543,False,fog21,
Siotec2022,replacement,930,1046.037197113037,False,fog21,
Siotec2022,replacement,940,1050.8170127868652,False,fog1,
Siotec2022,replacement,940,1052.5259971618652,False,fog1,
Siotec2022,replacement,944,99.03383255004883,True,fog23,
Siotec2022,replacement,967,98.96516799926758,True,"fog8,edge7",
Siotec2022,replacement,993,1052.522897720337,False,"fog9,edge1",
Media Processing,replacement,28,52.40893363952637,True,fog23,
Media Processing,replacement,56,45.211076736450195,True,edge3,
Media Processing,replacement,275,49.95608329772949,True,edge5,
Media Processing,replacement,460,54.16584014892578,True,edge1,
Media Processing,replacement,673,45.575857162475586,True,edge3,
Media Processing,replacement,796,50.595998764038086,True,fog7,
Media Processing,replacement,884,53.462982177734375,True,fog22,
Media Processing,replacement,944,46.645164489746094,True,fog23,
Media Processing,replacement,946,46.71001434326172,False,edge1,
Media Processing,replacement,954,55.027008056640625,True,fog22,
Media Processing,replacement,954,48.75683784484863,True,fog22,
